id,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP
car486,Toyota,4Runner,2014,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,22,17,2031,38645
car495,Toyota,4Runner,2015,regular unleaded,270.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,21,17,2031,41310
car504,Toyota,4Runner,2016,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,22,17,2031,34010
car799,Toyota,86,2017,premium unleaded (recommended),200.0,4.0,AUTOMATIC,rear wheel drive,2.0,Performance,Compact,Coupe,32,24,2031,26975
car1028,Audi,A3,2015,premium unleaded (recommended),170.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Compact,Sedan,33,23,3105,32450
car1048,Audi,A3,2016,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,"Diesel,Luxury",Compact,Sedan,43,31,3105,42050
car1060,Audi,A3,2017,premium unleaded (recommended),220.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,Luxury,Compact,Sedan,35,26,3105,34200
car1072,Audi,A4,2015,premium unleaded (required),220.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,31,22,3105,37600
car1078,Audi,A4,2016,premium unleaded (required),220.0,4.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,32,22,3105,39100
car1088,Audi,A4,2017,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,all wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,24,3105,42350
car1094,Audi,A5,2016,premium unleaded (required),220.0,4.0,MANUAL,all wheel drive,2.0,Luxury,Midsize,Coupe,32,22,3105,42800
car1097,Audi,A5,2017,flex-fuel (premium unleaded recommended/E85),220.0,4.0,AUTOMATIC,all wheel drive,2.0,"Flex Fuel,Luxury",Midsize,Coupe,22,15,3105,42200
car1105,Audi,A6,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Midsize,Sedan,38,24,3105,62500
car1113,Audi,A6,2016,premium unleaded (recommended),252.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Sedan,32,22,3105,48400
car1120,Audi,A6,2017,premium unleaded (recommended),252.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,34,24,3105,47600
car1124,Audi,A7,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Large,Sedan,38,24,3105,72150
car1128,Audi,A7,2016,premium unleaded (required),333.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,30,20,3105,70950
car1134,Audi,A8,2016,premium unleaded (required),333.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,28,18,3105,81500
car1136,Audi,A8,2017,premium unleaded (required),333.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,29,19,3105,82500
car1148,GMC,Acadia,2015,regular unleaded,281.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,24,17,549,36555
car1159,GMC,Acadia,2016,regular unleaded,281.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,22,15,549,43020
car1170,GMC,Acadia,2017,regular unleaded,310.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,25,18,549,41750
car1232,Honda,Accord,2015,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,27,2202,22905
car1258,Honda,Accord,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,37,27,2202,30670
car1286,Honda,Accord,2017,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,2.0,,Midsize,Coupe,34,26,2202,24875
car1380,Audi,allroad,2014,premium unleaded (recommended),220.0,4.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,27,20,3105,49200
car1398,BMW,Alpina,2003,premium unleaded (required),375.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,Factory Tuner,Luxury,High-Performance",Compact,Convertible,19,13,3916,136900
car1599,Toyota,Avalon,2015,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,31,21,2031,34140
car1604,Toyota,Avalon,2016,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,31,21,2031,34400
car1609,Toyota,Avalon,2017,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,30,21,2031,35000
car1929,Volkswagen,Beetle,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,25,873,26985
car1948,Volkswagen,Beetle,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,31,24,873,23995
car1955,Volkswagen,Beetle,2017,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,24,873,22450
car2120,Audi,Cabriolet,1997,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Compact,Convertible,22,17,3105,2837
car2121,Audi,Cabriolet,1998,regular unleaded,172.0,6.0,AUTOMATIC,front wheel drive,2.0,Luxury,Compact,Convertible,22,17,3105,3137
car2129,Volkswagen,Cabrio,2000,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Convertible,28,21,873,2568
car2135,Volkswagen,Cabrio,2001,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Convertible,28,21,873,20600
car2141,Volkswagen,Cabrio,2002,regular unleaded,115.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,27,20,873,20475
car2249,Toyota,Camry,2015,regular unleaded,178.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,35,25,2031,23840
